Фамилия,Имя,Отчество,Github,e-mail,Группа
Степанов,Леонид,Николаевич,аккаунт1,e-mail1,1233
Колесникова,Алла,Романовна,аккаунт2,e-mail2,1233
Горбачёва,Зоя,Якуновна,аккаунт3,e-mail3,1232
Никитина,Антонина,Александров,аккаунт4,e-mail4,1230
Маслов,Филат,Пантелеймон,аккаунт5,e-mail5,1233
Агафонов,Степан,Федосеевич,аккаунт6,e-mail6,1235
Федосеев,Иван,Григорьевич,аккаунт7,e-mail7,1231
Сазонов,Лаврентий,Донатович,аккаунт8,e-mail8,1232
Гришина,Людмила,Пётровна,аккаунт9,e-mail9,1232
Молчанова,Вероника,Парфеньевна,аккаунт10,e-mail10,1231
Нестерова,Марина,Ильяовна,аккаунт11,e-mail11,1233
Щербаков,Даниил,Куприянович,аккаунт12,e-mail12,1233
Романова,Надежда,Пётровна,аккаунт13,e-mail13,1232
Алексеев,Антон,Созонович,аккаунт14,e-mail14,1235
Поляков,Станислав,Ростислав,аккаунт15,e-mail15,1232
Пестов,Владимир,Николаевич,аккаунт16,e-mail16,1233
Гордеев,Фрол,Арсеньевич,аккаунт17,e-mail17,1230
Никитин,Михаил,Филатович,аккаунт18,e-mail18,1230
Лапин,Валерьян,Богданович,аккаунт19,e-mail19,1231
Родионова,Надежда,Владислав,аккаунт20,e-mail20,1231
Герасимов,Христофор,Константин,аккаунт21,e-mail21,1232
Крюкова,Полина,Валерьянов,аккаунт22,e-mail22,1235
Дмитриев,Арсений,Ильяович,аккаунт23,e-mail23,1234
Соловьёв,Денис,Павлович,аккаунт24,e-mail24,1234
Белозёров,Серапион,Христофор,аккаунт25,e-mail25,1235
Пахомов,Протасий,Ильяович,аккаунт26,e-mail26,1232
Маслов,Ириней,Егорович,аккаунт27,e-mail27,1234
Шилов,Федот,Владислав,аккаунт28,e-mail28,1233
Архипов,Всеволод,Станислав,аккаунт29,e-mail29,1235
Лапина,Александра,Аркадьевна,аккаунт30,e-mail30,1233
Фокина,Ксения,Андреевна,аккаунт31,e-mail31,1232
Копылов,Федот,Евгеньевич,аккаунт32,e-mail32,1234
Кононова,Лидия,Якововна,аккаунт33,e-mail33,1232
Егорова,Надежда,Матвеевна,аккаунт34,e-mail34,1232
Антонова,Зоя,Кондратовна,аккаунт35,e-mail35,1234
Николаев,Руслан,Демьянович,аккаунт36,e-mail36,1234
Фадеева,Наина,Арсеньевна,аккаунт37,e-mail37,1232
Максимов,Пётр,Анатольевич,аккаунт38,e-mail38,1234
Некрасова,Пелагея,Никитевна,аккаунт39,e-mail39,1234
Власов,Сергей,Пантелеймон,аккаунт40,e-mail40,1231
Хохлов,Христофор,Яковович,аккаунт41,e-mail41,1231
Прохоров,Альберт,Филатович,аккаунт42,e-mail42,1234
Андреева,Лариса,Арсеньевна,аккаунт43,e-mail43,1230
Тарасов,Аристарх,Донатович,аккаунт44,e-mail44,1233
Дементьев,Мэлор,Мартынович,аккаунт45,e-mail45,1230
Тимофеева,Ангелина,Ильяовна,аккаунт46,e-mail46,1235
Молчанов,Николай,Семёнович,аккаунт47,e-mail47,1231
Уварова,Валерия,Мэлоровна,аккаунт48,e-mail48,1234
Лыткин,Германн,Авдеевич,аккаунт49,e-mail49,1233
Зимина,Алина,Аксентьевна,аккаунт50,e-mail50,1234
