1230
Фамилия,Имя,Отчество,Github,e-mail,Оценка
Никитина,Антонина,Александров,аккаунт4,e-mail4,4
Гордеев,Фрол,Арсеньевич,аккаунт17,e-mail17,2
Никитин,Михаил,Филатович,аккаунт18,e-mail18,3
Андреева,Лариса,Арсеньевна,аккаунт43,e-mail43,4
Дементьев,Мэлор,Мартынович,аккаунт45,e-mail45,2


1231
Фамилия,Имя,Отчество,Github,e-mail,Оценка
Федосеев,Иван,Григорьевич,аккаунт7,e-mail7,1
Молчанова,Вероника,Парфеньевна,аккаунт10,e-mail10,4
Лапин,Валерьян,Богданович,аккаунт19,e-mail19,3
Родионова,Надежда,Владислав,аккаунт20,e-mail20,4
Власов,Сергей,Пантелеймон,аккаунт40,e-mail40,1
Хохлов,Христофор,Яковович,аккаунт41,e-mail41,4
Молчанов,Николай,Семёнович,аккаунт47,e-mail47,3


1232
Фамилия,Имя,Отчество,Github,e-mail,Оценка
Горбачёва,Зоя,Якуновна,аккаунт3,e-mail3,0
Сазонов,Лаврентий,Донатович,аккаунт8,e-mail8,0
Гришина,Людмила,Пётровна,аккаунт9,e-mail9,5
Романова,Надежда,Пётровна,аккаунт13,e-mail13,1
Поляков,Станислав,Ростислав,аккаунт15,e-mail15,4
Герасимов,Христофор,Константин,аккаунт21,e-mail21,4
Пахомов,Протасий,Ильяович,аккаунт26,e-mail26,1
Фокина,Ксения,Андреевна,аккаунт31,e-mail31,4
Кононова,Лидия,Якововна,аккаунт33,e-mail33,1
Егорова,Надежда,Матвеевна,аккаунт34,e-mail34,1
Фадеева,Наина,Арсеньевна,аккаунт37,e-mail37,2


1233
Фамилия,Имя,Отчество,Github,e-mail,Оценка
Степанов,Леонид,Николаевич,аккаунт1,e-mail1,2
Колесникова,Алла,Романовна,аккаунт2,e-mail2,5
Маслов,Филат,Пантелеймон,аккаунт5,e-mail5,4
Нестерова,Марина,Ильяовна,аккаунт11,e-mail11,2
Щербаков,Даниил,Куприянович,аккаунт12,e-mail12,3
Пестов,Владимир,Николаевич,аккаунт16,e-mail16,5
Шилов,Федот,Владислав,аккаунт28,e-mail28,0
Лапина,Александра,Аркадьевна,аккаунт30,e-mail30,2
Тарасов,Аристарх,Донатович,аккаунт44,e-mail44,3
Лыткин,Германн,Авдеевич,аккаунт49,e-mail49,4


1234
Фамилия,Имя,Отчество,Github,e-mail,Оценка
Дмитриев,Арсений,Ильяович,аккаунт23,e-mail23,1
Соловьёв,Денис,Павлович,аккаунт24,e-mail24,1
Маслов,Ириней,Егорович,аккаунт27,e-mail27,1
Копылов,Федот,Евгеньевич,аккаунт32,e-mail32,2
Антонова,Зоя,Кондратовна,аккаунт35,e-mail35,1
Николаев,Руслан,Демьянович,аккаунт36,e-mail36,1
Максимов,Пётр,Анатольевич,аккаунт38,e-mail38,5
Некрасова,Пелагея,Никитевна,аккаунт39,e-mail39,2
Прохоров,Альберт,Филатович,аккаунт42,e-mail42,4
Уварова,Валерия,Мэлоровна,аккаунт48,e-mail48,3
Зимина,Алина,Аксентьевна,аккаунт50,e-mail50,1


1235
Фамилия,Имя,Отчество,Github,e-mail,Оценка
Агафонов,Степан,Федосеевич,аккаунт6,e-mail6,0
Алексеев,Антон,Созонович,аккаунт14,e-mail14,4
Крюкова,Полина,Валерьянов,аккаунт22,e-mail22,4
Белозёров,Серапион,Христофор,аккаунт25,e-mail25,1
Архипов,Всеволод,Станислав,аккаунт29,e-mail29,5
Тимофеева,Ангелина,Ильяовна,аккаунт46,e-mail46,1


